Country,CountryCode,Year,PM25
Australia,AUS,2010,10.6188794
Australia,AUS,2011,11.04726492
Australia,AUS,2012,10.53708999
Australia,AUS,2013,9.98768389
Australia,AUS,2014,9.492978752
Australia,AUS,2015,9.320015289
Australia,AUS,2016,8.614508924
Australia,AUS,2017,8.550324401
Canada,CAN,2010,8.384457262
Canada,CAN,2011,8.62446106
Canada,CAN,2012,8.107410495
Canada,CAN,2013,7.791636125
Canada,CAN,2014,7.428419864
Canada,CAN,2015,7.151582145
Canada,CAN,2016,6.549074761
Canada,CAN,2017,6.428383133
China,CHN,2010,69.47957041
China,CHN,2011,70.54202883
China,CHN,2012,63.82701684
China,CHN,2013,65.51455022
China,CHN,2014,59.76736751
China,CHN,2015,59.06342246
China,CHN,2016,52.21132204
China,CHN,2017,52.66459583
United Kingdom,GBR,2010,12.29910815
United Kingdom,GBR,2011,12.84799901
United Kingdom,GBR,2012,11.81449494
United Kingdom,GBR,2013,11.61890149
United Kingdom,GBR,2014,10.80055978
United Kingdom,GBR,2015,10.75487287
United Kingdom,GBR,2016,10.50466684
United Kingdom,GBR,2017,10.47269039
India,IND,2010,95.75817945
India,IND,2011,97.59937863
India,IND,2012,88.1694406
India,IND,2013,91.80479161
India,IND,2014,89.62238269
India,IND,2015,89.3033343
India,IND,2016,89.67217693
India,IND,2017,90.87321047
Japan,JPN,2010,14.14233824
Japan,JPN,2011,14.14103105
Japan,JPN,2012,13.12887233
Japan,JPN,2013,13.36255833
Japan,JPN,2014,12.58661692
Japan,JPN,2015,12.68745973
Japan,JPN,2016,11.62392259
Japan,JPN,2017,11.70477819
New Zealand,NZL,2010,7.152865691
New Zealand,NZL,2011,7.420696435
New Zealand,NZL,2012,6.83583564
New Zealand,NZL,2013,6.781885551
New Zealand,NZL,2014,6.357903512
New Zealand,NZL,2015,6.33043381
New Zealand,NZL,2016,5.987363154
New Zealand,NZL,2017,5.956001129
Singapore,SGP,2010,20.60946174
Singapore,SGP,2011,19.34942078
Singapore,SGP,2012,20.88649301
Singapore,SGP,2013,18.70707148
Singapore,SGP,2014,17.40887705
Singapore,SGP,2015,20.66338947
Singapore,SGP,2016,18.79780262
Singapore,SGP,2017,19.0782565
United States,USA,2010,9.35863641
United States,USA,2011,9.740640607
United States,USA,2012,9.00316337
United States,USA,2013,8.734777211
United States,USA,2014,8.220720319
United States,USA,2015,8.063920222
United States,USA,2016,7.406464089
United States,USA,2017,7.409441662
South Africa,ZAF,2010,27.13858684
South Africa,ZAF,2011,26.55787322
South Africa,ZAF,2012,26.57708662
South Africa,ZAF,2013,26.72926171
South Africa,ZAF,2014,26.72221238
South Africa,ZAF,2015,26.11297177
South Africa,ZAF,2016,25.14041614
South Africa,ZAF,2017,25.10220499
