Entity,Code,Year,"Air pollution (total) (deaths per 100,000)","Indoor air pollution (deaths per 100,000)","Outdoor particulate matter (deaths per 100,000)","Outdoor ozone pollution (deaths per 100,000)"
Australia,AUS,1990,26.70502685,0.69240058,25.72982899,0.328558961
Australia,AUS,1991,25.91502842,0.617207389,25.02097141,0.322291542
Australia,AUS,1992,25.70745496,0.559419099,24.86598947,0.328629689
Australia,AUS,1993,24.63559229,0.4920491,23.86602347,0.32329578
Australia,AUS,1994,24.38184794,0.445467269,23.65268645,0.330099889
Australia,AUS,1995,23.10038009,0.389572143,22.43122463,0.324473497
Australia,AUS,1996,23.04465163,0.358503363,22.40707103,0.324937503
Australia,AUS,1997,22.43024859,0.322222444,21.83873717,0.314183839
Australia,AUS,1998,21.50528959,0.283976906,20.96027602,0.304891752
Australia,AUS,1999,20.4091125,0.259009247,19.89709102,0.295335428
Australia,AUS,2000,19.3982191,0.2398763,18.90923985,0.28992164
Australia,AUS,2001,18.58572169,0.223434124,18.11870014,0.283646867
Australia,AUS,2002,18.11849247,0.210598016,17.6622692,0.285993753
Australia,AUS,2003,17.2383043,0.193708283,16.80253645,0.281694916
Australia,AUS,2004,16.34769749,0.176022869,15.93207706,0.278546618
Australia,AUS,2005,15.41336883,0.159927921,15.01608862,0.275714965
Australia,AUS,2006,14.92239325,0.14964694,14.53022293,0.281906041
Australia,AUS,2007,14.9214049,0.1449723,14.51488435,0.304200487
Australia,AUS,2008,14.64683301,0.138322464,14.22870915,0.325464806
Australia,AUS,2009,14.11563395,0.125931347,13.69457184,0.343198229
Australia,AUS,2010,13.57171256,0.117483406,13.14037958,0.364723294
Australia,AUS,2011,13.72762589,0.111924734,13.27667638,0.395679629
Australia,AUS,2012,12.65972531,0.101862559,12.19640124,0.4192914
Australia,AUS,2013,11.87449047,0.097383605,11.38415361,0.453042661
Australia,AUS,2014,11.47267944,0.093103579,10.93949093,0.503705619
Australia,AUS,2015,11.27679379,0.088637603,10.70207175,0.554406842
Australia,AUS,2016,10.58643985,0.084401709,9.974549114,0.595577923
Australia,AUS,2017,10.79595183,0.083362775,10.12811059,0.659241943
China,CHN,1990,184.4132044,107.9676631,56.10672095,35.26596634
China,CHN,1991,181.8007043,103.7580384,57.73257106,34.93007362
China,CHN,1992,177.2834672,98.86168494,58.39779785,34.19946773
China,CHN,1993,172.2670876,93.71119513,58.86001311,33.4255452
China,CHN,1994,167.0829393,88.67163037,59.0800089,32.60220434
China,CHN,1995,160.7139561,82.99206899,59.03278118,31.29706563
China,CHN,1996,155.3857949,77.68883463,59.584994,30.14065646
China,CHN,1997,149.6834218,72.53077244,59.69854302,28.88413838
China,CHN,1998,144.8416199,68.03976434,59.91803596,27.79806008
China,CHN,1999,138.2017334,63.11287863,59.13798965,26.13882381
China,CHN,2000,133.1366852,59.16331665,58.79216263,24.76396843
China,CHN,2001,128.0940057,54.86002285,58.83775978,23.40094174
China,CHN,2002,124.9978735,51.58104866,59.60034938,22.41332431
China,CHN,2003,122.3120249,48.49132649,60.52764037,21.51923278
China,CHN,2004,118.0011858,44.85315781,60.54620082,20.34640018
China,CHN,2005,111.3419029,40.54073594,59.10375148,18.81807997
China,CHN,2006,102.9484951,35.48316873,56.85837956,16.99842339
China,CHN,2007,97.83587858,31.90986901,56.03075192,15.79962997
China,CHN,2008,95.4391289,29.46463845,56.48274198,15.10124343
China,CHN,2009,94.24721802,27.47181132,57.52544269,14.66165491
China,CHN,2010,92.97014294,25.5415733,58.41215079,14.23117899
China,CHN,2011,90.6548837,23.32188305,58.74084548,13.52286667
China,CHN,2012,85.77144184,22.14462291,55.39028458,12.758636
China,CHN,2013,81.73468623,19.88822877,54.17601016,11.86164993
China,CHN,2014,78.990323,18.92032327,52.51894496,11.50372952
China,CHN,2015,78.25140892,18.12006266,52.65894616,11.31656996
China,CHN,2016,74.70570935,17.76558436,49.44868338,11.14419971
China,CHN,2017,72.67678886,15.8036408,49.36714161,11.12328257
United States,USA,1990,31.19506955,0.283395898,28.08403501,3.281702529
United States,USA,1991,30.85611355,0.271225444,27.70024143,3.348164231
United States,USA,1992,30.27920293,0.257007088,27.10677077,3.383140732
United States,USA,1993,30.75235543,0.252343319,27.44725097,3.541285358
United States,USA,1994,30.47438786,0.241279959,27.12267939,3.606160392
United States,USA,1995,30.35046372,0.230246175,26.93429165,3.690747903
United States,USA,1996,29.99271237,0.21864228,26.56635431,3.717584374
United States,USA,1997,29.64126205,0.210562036,26.18573731,3.761268509
United States,USA,1998,29.42022044,0.201732086,25.90635708,3.838509211
United States,USA,1999,29.53359911,0.195340924,25.89521481,3.989032763
United States,USA,2000,29.10768889,0.1859484,25.44181419,4.029325453
United States,USA,2001,28.93113713,0.17687081,25.24284409,4.06875482
United States,USA,2002,28.65140941,0.168936148,24.9480417,4.097656299
United States,USA,2003,28.12696434,0.16055754,24.42431206,4.108153608
United States,USA,2004,26.96519777,0.148604245,23.34018269,4.031958735
United States,USA,2005,26.63443643,0.144128734,22.95162922,4.102205137
United States,USA,2006,25.93368823,0.13840427,22.28561928,4.070333396
United States,USA,2007,25.11755737,0.130770471,21.49566905,4.048496317
United States,USA,2008,24.65482357,0.124166569,20.9997785,4.092602669
United States,USA,2009,23.93127486,0.116672546,20.29819602,4.071619724
United States,USA,2010,22.97204704,0.10838183,19.3897013,4.016614534
United States,USA,2011,23.39666589,0.104453386,19.77382442,4.085944685
United States,USA,2012,21.98194263,0.101611703,18.33893053,4.076191809
United States,USA,2013,21.27855281,0.098259769,17.61037044,4.091788849
United States,USA,2014,20.27039185,0.095734982,16.57709649,4.092842055
United States,USA,2015,19.95171479,0.092758726,16.2325996,4.115664936
United States,USA,2016,18.80566618,0.090755682,15.04178809,4.12264915
United States,USA,2017,18.82514567,0.089135041,15.04392511,4.142218557
Singapore,SGP,1990,52.92220554,2.895368416,48.94275233,1.36058969
Singapore,SGP,1991,50.76852249,2.161778384,47.56497656,1.306657314
Singapore,SGP,1992,49.13885502,1.663402058,46.48254268,1.244824085
Singapore,SGP,1993,47.87925797,1.275941623,45.67666107,1.161226988
Singapore,SGP,1994,47.13327225,0.965974819,45.29359608,1.094343294
Singapore,SGP,1995,46.29214555,0.719566875,44.74805194,1.03222727
Singapore,SGP,1996,44.31543501,0.564040168,42.99101204,0.952720326
Singapore,SGP,1997,42.06368783,0.451990263,40.9087484,0.881420496
Singapore,SGP,1998,40.97868971,0.370029036,39.93183711,0.849171858
Singapore,SGP,1999,39.4909582,0.323802523,38.518622,0.814071016
Singapore,SGP,2000,38.33181655,0.287848045,37.40170324,0.806350128
Singapore,SGP,2001,37.62331,0.244487111,36.7386453,0.805278594
Singapore,SGP,2002,36.6302791,0.212888955,35.77900824,0.804966907
Singapore,SGP,2003,34.44223186,0.178268795,33.65187143,0.773587589
Singapore,SGP,2004,34.10023845,0.161549667,33.31414686,0.790540521
Singapore,SGP,2005,33.31101353,0.14180586,32.51624624,0.82675754
Singapore,SGP,2006,31.72012445,0.126206486,30.95557998,0.808474914
Singapore,SGP,2007,30.29935293,0.10815663,29.55849822,0.801367911
Singapore,SGP,2008,29.18305658,0.094301494,28.4512626,0.807197748
Singapore,SGP,2009,26.76132591,0.078484266,26.07137556,0.773743289
Singapore,SGP,2010,25.45423536,0.069951422,24.77334267,0.77226969
Singapore,SGP,2011,23.98975185,0.064137235,23.30822028,0.77482814
Singapore,SGP,2012,24.16397987,0.056579125,23.49568054,0.77463639
Singapore,SGP,2013,21.9384267,0.051788339,21.27908244,0.759607641
Singapore,SGP,2014,20.3949634,0.048777569,19.74290312,0.748032337
Singapore,SGP,2015,21.70642761,0.041458397,21.06079462,0.763988376
Singapore,SGP,2016,19.93263582,0.038372383,19.28639988,0.760298828
Singapore,SGP,2017,19.98012765,0.035673999,19.29837689,0.809215757
India,IND,1990,211.3767384,140.8730779,57.50013738,25.47961556
India,IND,1991,209.5381017,138.3624564,58.19447381,25.35209046
India,IND,1992,207.4625937,135.4592091,59.06068754,25.13918652
India,IND,1993,201.1392832,129.9631982,58.52832731,24.44859043
India,IND,1994,195.991024,125.2039879,58.33405819,23.94979162
India,IND,1995,190.722434,120.4602404,57.99822631,23.45043203
India,IND,1996,187.9426615,116.9742171,58.72916473,23.23483096
India,IND,1997,191.9423538,118.4147857,60.90171584,23.86289906
India,IND,1998,189.4918941,115.7786685,61.08673332,23.78555771
India,IND,1999,180.3118039,108.7074339,59.53922189,22.60855203
India,IND,2000,175.9397186,104.2116619,59.89763133,22.01384091
India,IND,2001,172.7159342,100.4868618,60.63677137,21.48203716
India,IND,2002,167.6112596,95.93894398,60.50093146,20.66904052
India,IND,2003,160.9726771,90.17141116,60.12170186,19.68744314
India,IND,2004,151.5715029,83.10844344,58.48269229,18.33405531
India,IND,2005,148.7064727,79.95637144,59.04292356,17.74714619
India,IND,2006,148.5517856,78.13371455,60.68585825,17.73231614
India,IND,2007,148.0562721,76.24102733,62.09905385,17.65238261
India,IND,2008,147.3248123,74.0337825,63.57544251,17.56901479
India,IND,2009,145.8736142,71.73601914,64.4532424,17.42650946
India,IND,2010,145.2205596,69.91364359,65.61668922,17.35808832
India,IND,2011,144.7434524,67.91702867,67.17222334,17.24161216
India,IND,2012,141.7831772,67.30176052,64.7749227,17.08529654
India,IND,2013,140.0034701,63.05610188,67.21948114,17.04707944
India,IND,2014,137.5978149,59.79324068,67.90689588,17.13038182
